,event_name,event_color,event_date,auth_user_uid,qid,question_id,instance_question_id,variant_id,variant_number,submission_id,data,formatted_date,date_iso8601,student_question_number,instructor_question_number
0,Begin,gray3,2022-07-22T15:52:06.936Z,dev@illinois.edu,,,,,,,,2022-07-22 10:52:06 (CDT),2022-07-22T10:52:06-05,,
1,New variant,gray1,2022-07-22T15:52:11.228Z,dev@illinois.edu,demo/annotated/mathNumberInput,145.0,4.0,1.0,1.0,,"{'params': {'a': 14, 'b': 8, 'equation': '\\sqrt{(a^2 + b^2)}'}, 'options': {}, 'true_answer': {'ans': 16.1245154965971}, 'variant_seed': '9xd39'}",2022-07-22 10:52:11 (CDT),2022-07-22T10:52:11-05,1.0,1.0
2,Submission,blue3,2022-07-22T15:52:15.434Z,dev@illinois.edu,demo/annotated/mathNumberInput,145.0,4.0,1.0,1.0,1.0,"{'correct': False, 'submitted_answer': {'ans': 1}}",2022-07-22 10:52:15 (CDT),2022-07-22T10:52:15-05,1.0,1.0
3,Score assessment,brown3,2022-07-22T15:52:15.463Z,dev@illinois.edu,,,,,,,"{'points': 0, 'max_points': 15, 'score_perc': 0}",2022-07-22 10:52:15 (CDT),2022-07-22T10:52:15-05,,
4,Grade submission,orange3,2022-07-22T15:52:15.769Z,dev@illinois.edu,demo/annotated/mathNumberInput,145.0,4.0,1.0,1.0,1.0,"{'score': 0, 'correct': False, 'feedback': {}, 'true_answer': {'ans': 16.1245154965971}, 'submitted_answer': {'ans': 1}}",2022-07-22 10:52:15 (CDT),2022-07-22T10:52:15-05,1.0,1.0
5,Score question,brown1,2022-07-22T15:52:15.769Z,dev@illinois.edu,demo/annotated/mathNumberInput,145.0,4.0,1.0,1.0,,"{'points': 0, 'correct': False, 'max_points': 3, 'score_perc': 0}",2022-07-22 10:52:15 (CDT),2022-07-22T10:52:15-05,1.0,1.0
6,Score assessment,brown3,2022-07-22T15:52:15.769Z,dev@illinois.edu,,,,,,,"{'points': 0, 'max_points': 15, 'score_perc': 0}",2022-07-22 10:52:15 (CDT),2022-07-22T10:52:15-05,,
7,New variant,gray1,2022-07-22T15:52:19.201Z,dev@illinois.edu,demo/annotated/graphAdjacencyMatrix,142.0,2.0,2.0,1.0,,"{'params': {'mat': {'_type': 'ndarray', '_dtype': 'int64', '_value': [[0, 0, 0, 1], [0, 0, 0, 1], [0, 1, 0, 0], [0, 0, 0, 1]]}}, 'options': {}, 'true_answer': {'mat': {'_type': 'ndarray', '_dtype': 'int64', '_value': [[0, 0, 0, 1], [0, 0, 0, 1], [0, 1, 0, 0], [0, 0, 0, 1]]}}, 'variant_seed': '3n03cd'}",2022-07-22 10:52:19 (CDT),2022-07-22T10:52:19-05,2.0,2.0
8,New variant,gray1,2022-07-22T15:52:22.438Z,dev@illinois.edu,demo/annotated/engCircuit,135.0,1.0,3.0,1.0,,"{'params': {'R1': 80, 'R2': 40, 'R3': 80, 'Vt': 172, 'ask': 'equivalent resistance $R_T$', 'lab': '$R_T$', 'unit': '$\\Omega$', 'figname': 'circ1.png'}, 'options': {}, 'true_answer': {'ans': 20}, 'variant_seed': '76ubc'}",2022-07-22 10:52:22 (CDT),2022-07-22T10:52:22-05,3.0,3.0
9,New variant,gray1,2022-07-22T15:52:23.236Z,dev@illinois.edu,demo/annotated/mathMatrixMultT,144.0,3.0,4.0,1.0,,"{'params': {'A': {'_type': 'ndarray', '_dtype': 'float64', '_value': [[0, 0], [0.6000000000000001, 0.7000000000000001]]}, 'nDigits': 1, 'sigfigs': 2}, 'options': {}, 'true_answer': {'B': {'_type': 'ndarray', '_dtype': 'float64', '_value': [[0, 0], [0, 0.85]]}}, 'variant_seed': '1d1s0pz'}",2022-07-22 10:52:23 (CDT),2022-07-22T10:52:23-05,4.0,4.3
10,Submission,blue3,2022-07-22T15:52:26.051Z,dev@illinois.edu,demo/annotated/mathMatrixMultT,144.0,3.0,4.0,1.0,2.0,"{'correct': None, 'submitted_answer': {'B': None}}",2022-07-22 10:52:26 (CDT),2022-07-22T10:52:26-05,4.0,4.3
11,Close,gray3,2022-07-22T15:52:31.553Z,dev@illinois.edu,,,,,,,,2022-07-22 10:52:31 (CDT),2022-07-22T10:52:31-05,,
